# deployment rho=400 seed=16 N=400 L=1000.0 R_max=80.0 rejections=8 generator=gen_deployments.py
id,x,y
0,500.0,500.0
1,58.79372697241336,157.71630622984932
2,833.228658038834,623.958501468677
3,631.8336144597155,437.09207842495243
4,737.5094237110834,858.1849965008962
5,686.102319477526,853.5615209465091
6,535.0712650397682,753.8024998454
7,181.5872309275325,262.35017977230746
8,526.8172766633103,879.5661430063732
9,112.45982979986557,947.7328849385774
10,579.0564756720507,623.8113957706762
11,575.8182634375657,417.85714859400605
12,40.41122670274733,256.0518980210732
13,292.7739646279277,561.4336491109864
14,487.5253272997957,153.54771116528377
15,237.63261293800463,518.9662108413977
16,984.4251819193495,531.2654840999899
17,274.87950079260014,152.06690120877698
18,594.5139959171329,462.93073885051996
19,427.66583366465517,836.0679490825675
20,154.15434867428345,767.2814495334802
21,810.6353071776475,105.7703280760045
22,745.8053353101495,748.0582207024133
23,49.4162433579749,609.3531130577708
24,113.861654926527,234.841985633942
25,612.3219227487145,79.4593786643344
26,390.7108805954198,66.27635406974642
27,490.73737202635624,158.3593092767498
28,946.1793273609773,167.25397661497033
29,992.2916650281728,847.7523470554547
30,773.9889728804891,294.82942301457405
31,473.0389717707113,605.3371800441935
32,341.64536767990904,208.15635377282504
33,885.7386563242987,347.95909061645614
34,481.7014044834039,63.388698252133445
35,712.2304705275207,21.955320043431705
36,21.112034219028075,520.374594309636
37,635.6682091016004,639.3453655310794
38,681.7481859550121,816.6045020096274
39,279.05475570744466,806.0793704575663
40,149.3311968815634,563.8180620973371
41,392.5588726205078,383.9586381542548
42,961.604336137984,507.49787999496607
43,927.4943056399737,306.385106981924
44,799.3751779035438,477.8985361343706
45,119.08398602088243,628.1544635173645
46,994.111574437238,432.7817636182645
47,942.6636592674112,735.2010958472504
48,871.2200438271487,429.36140907587014
49,125.63895143938176,806.5008851090806
50,395.30044710158074,809.9547146764036
51,531.1626050279957,402.1064826419958
52,115.4887723986867,778.2632456630594
53,558.3760562601461,525.9199316028153
54,989.7867474782732,311.0471721920476
55,848.5077640242062,4.131260139807358
56,16.71315538159601,653.187299007132
57,398.20974295690684,386.8520638132948
58,419.1079615108597,903.7560786286805
59,650.1422845967635,558.9714357546502
60,42.61965802548839,444.06222865758315
61,489.62517789866433,985.8574534037084
62,151.9825328364548,945.5017542047938
63,699.5429932572998,993.4949425556019
64,825.902099412905,889.4478177371722
65,638.054887738464,799.7270394622677
66,680.7364914727162,694.9315236692926
67,782.0429780980195,302.55343423812144
68,457.7906198078305,978.0772160328041
69,595.9540863827492,631.5036160033137
70,900.5771327495836,243.68954972876256
71,31.2577121356481,206.46606873095618
72,359.26446985982506,929.9633144181188
73,26.658999269344008,42.162063483871634
74,577.7247511757727,542.2190738089205
75,45.73220512259657,391.36232190144307
76,732.8679999027128,775.3718309096334
77,920.4711346651413,794.1364871687301
78,593.8765117785811,891.6108300192274
79,884.5452685316084,70.84508178878224
80,503.80858945211185,410.3246673633456
81,890.6903064021695,987.1852637605165
82,212.2362770122941,314.7342586718488
83,778.452902062435,463.5768772210659
84,912.853936668302,333.0688532743019
